(-1.2, 2.6, 0.0),0.4283214
(-0.4, 3.1, 0.0),0.286382
(-1.2, 2.6, 0.0),0.419982
(-1.8, 2.7, 0.0),0.4010596
(-1.6, 2.4, 0.0),0.4497598
(-1.7, 1.6, 0.0),0.4876489
(-0.7, 2.6, 0.0),0.3852213
(-2.0, 2.7, 0.0),0.4001528
(-0.5, 2.6, 0.0),0.3710001
(-0.7, 3.0, 0.0),0.3311606
(-2.3, 0.4, 0.0),0.3793658
(-0.8, 1.9, 0.0),0.4476272
(-1.3, 1.8, 0.0),0.4836611
(-0.6, 1.0, 0.0),0.374052
(-1.1, 2.3, 0.0),0.4572434
(-1.6, 1.5, 0.0),0.4842659
(-1.4, 2.9, 0.0),0.383038
(-1.1, 2.5, 0.0),0.4389875
(-0.4, 1.7, 0.0),0.3885743
(-0.6, 2.1, 0.0),0.4165579
(-1.8, 2.5, 0.0),0.4266687
(-1.3, 2.2, 0.0),0.4702283
(-1.6, 2.3, 0.0),0.4641578
(-1.7, 3.2, 0.0),0.3188044
(-1.1, 2.5, 0.0),0.4401761
(-1.0, 2.4, 0.0),0.450988
(-0.9, 2.4, 0.0),0.4369465
(-1.8, 0.7, 0.0),0.4096159
(-1.8, 1.1, 0.0),0.4567313
(-0.9, 2.4, 0.0),0.4433736
(-2.0, 1.2, 0.0),0.4602982
(-1.3, 2.5, 0.0),0.4372371
(-1.0, 1.0, 0.0),0.412222
(-0.5, 2.3, 0.0),0.3930828
(-0.4, 1.5, 0.0),0.3790043
(-0.9, 0.2, 0.0),0.2967024
(-1.6, 0.7, 0.0),0.4096456
(-0.3, 1.8, 0.0),0.3757608
(-1.4, 2.5, 0.0),0.4482559
(-0.6, 2.1, 0.0),0.4182369
(-0.1, 2.5, 0.0),0.3189853
(-0.9, 3.2, 0.0),0.3094409
(-2.2, 3.2, 0.0),0.295754
(-1.2, 3.2, 0.0),0.3094534
(-1.0, 2.4, 0.0),0.4470159
(-1.1, 2.3, 0.0),0.4591076
(-0.1, 1.7, 0.0),0.3415041
(-1.2, 3.0, 0.0),0.3487467
(-1.4, 2.2, 0.0),0.4714308
(-1.0, 1.8, 0.0),0.4648741
(-1.2, 2.9, 0.0),0.3715448
(-0.9, 2.3, 0.0),0.4476429
(-1.7, 1.1, 0.0),0.4561916
(-1.8, 1.1, 0.0),0.4558642
(-1.5, 3.1, 0.0),0.3431305
(-1.5, 0.1, -0.2),0.3245307
(-1.7, 0.6, 0.0),0.3961475
(-1.6, 2.2, 0.0),0.4704949
(-0.6, 2.0, 0.0),0.4167826
(-1.6, 2.2, 0.0),0.4701054
(-0.8, 1.9, 0.0),0.4457013
(-0.8, 2.4, 0.0),0.4269056
(-1.1, 1.2, 0.0),0.4474405
(-1.0, 2.0, 0.0),0.4699557
(-1.2, 1.3, 0.0),0.4563574
(-1.1, 2.3, 0.0),0.4618233
(-1.7, 2.7, 0.0),0.4128135
(-1.8, 1.5, 0.0),0.484287
(-1.7, 2.0, 0.0),0.4844194
(-1.6, 1.5, 0.0),0.4859497
(-2.4, 2.8, 0.0),0.3573246
(-1.6, 0.1, -0.1),0.321314
(-0.9, 2.5, 0.0),0.4226941
(-2.0, 2.4, 0.0),0.4403855
(-1.3, 2.9, 0.0),0.3678598
(-2.3, 2.5, 0.0),0.4008955
(-1.4, 1.0, 0.0),0.4428226
(-1.7, 2.0, 0.0),0.4839847
(-1.2, 2.7, 0.0),0.412213
(-0.7, 2.2, 0.0),0.4316566
(-2.0, 2.6, 0.0),0.4168319
(-3.6, 2.6, 0.0),0.3062936
(-2.5, 2.6, 0.0),0.3681648
(-1.9, 0.1, -0.5),0.3536708
