Time,X,Y,Z,Viewazimuth,ViewElevation
17.21667,-8.766543,2.15,-12.06247,49.80821,12.22509
17.33091,-8.234765,2.576051,-11.86242,49.80821,12.22509
17.44694,-7.565639,2.89,-11.80212,49.80822,38.45882
17.55163,-6.866076,2.888407,-11.81929,31.55879,47.96148
17.66084,-6.264893,2.89,-11.39907,10.93561,47.96148
17.76209,-5.796895,2.869818,-10.92011,1.545846,49.23212
17.8855,-5.317814,2.827897,-10.34916,353.2121,47.24192
17.98591,-4.959743,2.651573,-9.699143,351.3456,44.57148
18.09149,-4.575406,2.386074,-9.110733,349.2894,41.95327
18.20232,-4.329811,2.15,-8.868831,349.2894,41.95327
18.30655,-4.072542,2.15,-8.813185,349.2894,41.95327
18.4074,-3.976201,2.15,-8.775926,335.2693,35.86034
18.5096,-4.142163,2.15,-8.820329,309.2975,23.40117
18.61572,-4.601825,2.15,-8.794952,307.0368,23.40117
18.71987,-5.154398,2.15,-8.659873,309.6662,21.97168
18.82561,-5.576326,2.15,-8.35791,322.5881,19.7023
18.93425,-5.766931,2.15,-7.834512,325.8171,19.7023
19.04276,-5.804052,2.15,-7.196035,318.9562,23.13744
19.14602,-5.940464,2.15,-6.521708,293.995,30.69945
19.26727,-6.295307,2.15,-5.926169,288.4308,30.69945
19.3711,-6.776836,2.15,-5.459844,288.4308,30.69945
19.47475,-7.231016,2.15,-5.230651,288.4308,30.69945
19.59393,-7.70464,2.15,-5.130762,256.3707,359.241
19.69556,-8.294,2.15,-5.389726,254.8079,358.7054
19.80105,-8.798498,2.15,-5.528947,254.8079,358.7054
19.90443,-9.313598,2.15,-5.574316,254.8079,358.7054
20.00957,-9.882574,2.15,-5.492549,254.8079,358.7054
20.11083,-10.42874,2.15,-5.356316,259.9343,2.009817
20.21345,-10.95737,2.15,-5.322347,267.6415,2.847778
20.31548,-11.47657,2.15,-5.313076,272.5258,2.847779
20.41758,-11.98663,2.15,-5.282733,273.6106,2.847778
20.51958,-12.49413,2.15,-5.250709,273.6106,2.847778
20.62363,-13.01144,2.15,-5.218066,273.6106,2.847778
20.72765,-13.4962,2.15,-5.187478,273.6106,2.847778
20.83241,-14.00771,2.15,-5.155201,273.6106,2.847778
20.9357,-14.51936,2.15,-5.124563,272.3704,4.05627
21.03849,-15.05337,2.15,-5.102458,272.3704,4.05627
21.1392,-15.58527,2.15,-5.080441,272.5969,7.368752
21.24028,-16.0892,2.15,-5.051555,274.6447,8.157911
21.34482,-16.60078,2.15,-4.993468,277.2556,8.157909
21.45934,-17.12573,2.15,-4.924188,277.6869,8.789758
21.56682,-17.6553,2.15,-4.88272,285.5995,11.72239
21.66734,-18.20452,2.436965,-4.872832,301.6813,13.04502
21.76986,-18.90878,2.15,-4.822938,318.0709,13.63732
21.87271,-19.61977,2.15,-4.748754,321.7546,13.875
21.97911,-20.31076,2.15,-4.661354,323.8686,14.33144
22.08137,-20.96598,2.888871,-4.392963,353.6292,16.21115
22.18627,-21.41609,2.89,-3.870405,17.43791,12.86269
22.29544,-21.39646,2.89,-3.307103,48.10057,3.88447
22.4213,-21.07555,3.212801,-2.741457,51.80164,3.884471
22.54555,-20.83473,3.201771,-2.097855,35.9708,63.24899
22.6505,-21.01365,3.168285,-1.194765,29.96295,69.36669
22.75772,-21.22053,3.152081,-0.6018545,31.65242,68.0048
22.86334,-21.23097,3.136539,-0.6018545,50.94328,56.0047
22.97276,-20.91998,3.129773,-0.5820539,65.27,47.69416
23.07379,-20.46383,3.09832,-0.5538439,70.99996,43.45638
23.1796,-19.97255,2.961607,-0.5417237,71.34895,40.68209
23.30804,-19.45433,2.715807,-0.5278155,92.70297,14.87034
23.41529,-18.85323,2.300417,-0.6065034,100.8428,9.037083
23.51887,-18.34254,2.826758,-0.7043186,100.8428,9.037083
23.62847,-17.79312,2.887437,-0.8095503,100.8428,9.037083
23.73299,-17.26793,2.885278,-0.9101434,100.8428,9.037083
23.8355,-16.74413,2.858339,-1.010468,100.8428,9.037083
23.93849,-16.23579,2.736672,-1.107832,100.8428,9.037083
24.04802,-15.72293,2.507696,-1.206063,100.8428,9.037083
24.15961,-15.22269,2.512434,-1.301877,100.8428,9.037083
24.26655,-14.68987,2.89,-1.403931,100.8428,9.037083
24.37133,-14.13956,2.89,-1.341765,74.82415,18.78207
24.47475,-13.6216,2.880906,-1.192057,73.77161,18.78207
24.5784,-13.1205,2.830727,-1.046205,73.77161,18.78207
24.70612,-12.62739,2.677628,-0.902678,73.77161,18.78207
24.8672,-12.24172,2.482251,-0.7959092,160.1229,316.0015
24.96964,-12.06502,2.894934,-1.766903,192.2709,305.5016
25.07375,-12.20338,3.244013,-2.252733,199.3152,304.9452
25.1782,-12.40825,3.244863,-2.750978,205.7034,302.3469
25.28671,-12.65312,3.232702,-3.252322,206.209,302.3469
25.38888,-12.89199,3.216632,-3.718338,208.1464,323.5087
25.50754,-13.14198,3.110559,-4.187496,207.6369,333.7123
25.60957,-13.40831,2.868426,-4.699592,207.4031,334.9471
25.71338,-13.6454,2.539133,-5.1572,207.1625,343.3701
25.81437,-13.83853,2.191539,-5.509368,206.9408,353.8322
25.91718,-14.10535,2.15,-5.509368,206.9408,354.7845
26.01736,-14.38626,2.15,-5.521039,222.6871,348.2143
26.13132,-14.71856,2.15,-5.528224,236.7885,345.1233
26.23389,-15.24321,2.15,-5.538544,238.2116,345.1233
26.33697,-15.6921,2.15,-5.541273,240.6862,345.7599
26.43795,-16.14474,2.15,-5.590198,246.2281,350.8804
26.53806,-16.53749,2.15,-5.753778,248.2106,354.05
26.63993,-16.78868,2.15,-5.854949,247.0944,4.317244
26.74179,-16.89133,2.15,-5.903511,235.536,14.20696
26.84808,-16.89396,2.15,-5.905328,224.8476,13.29657
26.95098,-16.89396,2.15,-5.905328,208.6629,12.13072
27.05384,-16.90318,2.15,-5.928215,199.9956,17.82273
27.15402,-16.98618,2.15,-6.067326,188.2343,20.80346
27.25573,-17.19389,2.15,-6.383264,177.3461,20.80346
27.36082,-17.41245,2.15,-6.781687,166.044,22.80241
27.46971,-17.47387,2.15,-7.039079,149.6885,24.37065
27.57084,-17.54861,2.15,-7.251909,99.69974,24.37064
27.67706,-17.56188,2.477144,-7.368577,93.63982,23.73098
27.78452,-17.56617,2.625541,-7.436011,93.63982,23.73098
27.8954,-17.56847,2.668326,-7.472293,93.63982,23.73098
28.00618,-17.56847,2.668326,-7.472293,93.63982,23.73098
28.10999,-17.56847,2.668326,-7.472293,93.63982,23.73098
28.21341,-17.5666,2.660061,-7.44275,93.63982,23.73098
28.31771,-17.55491,2.632687,-7.259092,93.63982,23.73098
28.41797,-17.54305,2.512662,-7.045451,92.88757,23.73098
28.52095,-17.54017,2.300857,-6.988438,92.88757,23.73098
28.62723,-17.43656,2.15,-6.967511,70.63537,23.73098
28.75623,-17.18608,2.15,-6.859362,53.67862,19.85944
28.86223,-16.75439,2.15,-6.506031,48.69316,15.97847
28.96443,-16.56009,2.15,-6.169624,50.41246,14.39185
29.0679,-16.48309,2.15,-5.829914,66.96473,13.81586
29.16909,-16.07656,2.15,-5.582987,69.69219,13.81586
29.27623,-15.49881,2.15,-5.580245,70.45483,13.81586
29.38156,-14.92033,2.15,-5.568376,70.45483,13.81586
